Lineage	Specimen	Freq_miss	Decision	Population	Avg_Missing
dom1	8178	0.10153	Keep	aurifer_(Haitian)	0.469535
dom1	8179	0.140423	Keep	biminiensis_(Bahamian)	0.462554
sejunctus	5081	0.141768	Keep	brevirostris	0.696855
sejunctus	5083	0.16982	Keep	dapsilis_(Bahamian)	0.462554
sejunctus	5078	0.179813	Keep	distichoides_(Bahamian)	0.462554
dom1	8180	0.197473	Keep	distichus_(Bahamian)	0.462554
dom12	668	0.319276	Keep	dom1	0.146475
ravig	7696	0.321379	Keep	dom12	0.457251
dom4	9763	0.33467	Keep	dom2	0.660897
dom4	9765	0.350528	Keep	dom3_(Haitian)	0.469535
dom4	9764	0.352085	Keep	dom4	0.550147
distichoides	JASIL3230	0.361155	Keep	favillarum	0.670434
dom3	620	0.364698	Keep	ignigularis	0.709699
dom3	618	0.367606	Keep	igprop	0.605176
dapsilis	JASIL3075	0.372971	Keep	ocior_(Bahamian)	0.462554
distichus	209	0.374113	Keep	properus	0.562069
distichoides	JASIL3374	0.390047	Keep	ravig	0.449508
dom12	677	0.39838	Keep	ravitergum	0.610756
ravig	7697	0.403807	Keep	sejunctus	0.1638
dom3	8330	0.405975	Keep	suppar_(Haitian)	0.469535
suppar	8287	0.408649	Keep	vinosus_(Haitian)	0.469535
dom4	9762	0.413256	Keep		
ravig	4276	0.417216	Keep		
ocior	202	0.419509	Keep		
dom3	8328	0.421362	Keep		
suppar	8288	0.421398	Keep		
dom12	712	0.422177	Keep		
properus	10224	0.431888	Keep		
dom12	671	0.435959	Keep		
dapsilis	JASIL3081	0.438347	Keep		
dom12	1337	0.442121	Keep		
ravig	4277	0.442502	Keep		
dom12	665	0.443805	Keep		
ocior	201	0.447998	Keep		
properus	4915	0.449427	Keep		
dom3	8329	0.450828	Keep		
dom12	670	0.45638	Keep		
vinosus	8305	0.457293	Keep		
vinosus	8304	0.463533	Keep		
ravitergum	4250	0.463766	Keep		
distichoides	JASIL3373	0.466695	Keep		
dom3	8338	0.467165	Keep		
dom4	5891	0.46777	Keep		
distichoides	JASIL3231	0.469572	Keep		
dapsilis	JASIL3082	0.470249	Keep		
biminiensis	PM91	0.47278	Keep		
distichus	216	0.472906	Keep		
ocior	203	0.473167	Keep		
distichus	223	0.477891	Keep		
dapsilis	JASIL3084	0.481247	Keep		
biminiensis	PM163	0.483348	Keep		
dom3	8331	0.484191	Keep		
distichoides	JASIL3236	0.48597	Keep		
igprop	6452	0.486955	Keep		
properus	10202	0.487623	Keep		
aurifer	8284	0.492199	Keep		
dom4	9766	0.494423	Keep		
dom3	8337	0.495246	Keep		
ravitergum	4257	0.495389	Keep		
aurifer	8302	0.49667	Keep		
suppar	8289	0.496872	Keep		
dom12	1352	0.498945	Keep		
dom3	8332	0.501066	Keep		
properus	10208	0.506111	Keep		
igprop	6768	0.506522	Keep		
ravitergum	5100	0.512994	Keep		
dom4	5890	0.513276	Keep		
ravitergum	5593	0.513448	Keep		
biminiensis	PM137	0.515679	Keep		
distichus	214	0.518147	Keep		
igprop	749	0.522772	Keep		
vinosus	8306	0.527956	Keep		
ravitergum	606	0.530654	Keep		
dom4	5874	0.5347	Keep		
ravitergum	5594	0.537628	Keep		
igprop	748	0.538177	Keep		
ocior	212	0.538564	Keep		
igprop	6454	0.543846	Keep		
dom4	5872	0.549512	Keep		
dom2	703	0.550553	Keep		
properus	4916	0.55072	Keep		
ravitergum	5099	0.556169	Keep		
igprop	6766	0.560716	Keep		
igprop	6675	0.561747	Keep		
igprop	6453	0.563035	Keep		
ravitergum	4041	0.563825	Keep		
brevirostris	5135	0.563939	Keep		
dom4	5871	0.564256	Keep		
dom2	10128	0.567339	Keep		
dom4	5892	0.568534	Keep		
properus	10204	0.571887	Keep		
ravitergum	5591	0.576666	Keep		
ravitergum	7459	0.578524	Keep		
dom4	4354	0.579959	Keep		
dom2	10112	0.579978	Keep		
ravitergum	4257_rep	0.58048	Keep		
igprop	5033	0.580697	Keep		
favillarum	7501	0.58075	Keep		
favillarum	5169	0.581324	Keep		
dom2	10102	0.583255	Keep		
biminiensis	PM107	0.583276	Keep		
properus	6522	0.583846	Keep		
properus	4917	0.584951	Keep		
properus	10221	0.585019	Keep		
brevirostris	5138	0.585208	Keep		
dom2	4624	0.588107	Keep		
properus	6531	0.590115	Keep		
igprop	6789	0.591308	Keep		
properus	6542	0.59209	Keep		
properus	6513	0.597134	Keep		
dom2	1264	0.598101	Keep		
ignigularis	4903	0.598746	Keep		
favillarum	7500	0.598929	Keep		
igprop	5031	0.599472	Keep		
ravitergum	5101	0.600146	Keep		
brevirostris	1196	0.601741	Keep		
properus	6537	0.602335	Keep		
ravitergum	5586	0.603455	Keep		
dom2	10133	0.603998	Keep		
favillarum	3872	0.604192	Keep		
favillarum	8845	0.607087	Keep		
dom2	4479	0.608528	Keep		
dom2	1268	0.608957	Keep		
dom2	6793	0.609354	Keep		
dom2	6727	0.609758	Keep		
favillarum	8844	0.611351	Keep		
ignigularis	9832	0.611573	Keep		
ignigularis	10236	0.612751	Keep		
favillarum	5159	0.615045	Keep		
ignigularis	10234	0.615395	Keep		
ignigularis	10232	0.615847	Keep		
dom2	10129	0.617579	Keep		
dom2	6725	0.618896	Keep		
brevirostris	589	0.621122	Keep		
dom2	6724	0.621265	Keep		
ignigularis	1228	0.623657	Keep		
dom2	4547	0.623747	Keep		
dom4	6069	0.624144	Keep		
dom4	4380	0.625158	Keep		
dom2	6721	0.627569	Keep		
favillarum	3871	0.627994	Keep		
dom2	704	0.62822	Keep		
brevirostris	5137	0.630247	Keep		
brevirostris	7547	0.630315	Keep		
dom2	10134	0.630517	Keep		
ignigularis	4822	0.630822	Keep		
dom2	4475	0.631379	Keep		
brevirostris	4321	0.631654	Keep		
ignigularis	1227	0.631885	Keep		
ignigularis	1229	0.636594	Keep		
dom2	10130	0.637879	Keep		
brevirostris	598	0.637996	Keep		
brevirostris	5221	0.63985	Keep		
ignigularis	9839	0.640872	Keep		
brevirostris	5218	0.641501	Keep		
favillarum	1390	0.641849	Keep		
ignigularis	4823	0.641921	Keep		
dom2	4496	0.643048	Keep		
favillarum	7496	0.644216	Keep		
favillarum	1388	0.644384	Keep		
dom2	710	0.645048	Keep		
dom2	4548	0.645116	Keep		
ignigularis	4873	0.646893	Keep		
favillarum	1389	0.647148	Keep		
dom2	10135	0.647366	Keep		
ignigularis	9840	0.648383	Keep		
brevirostris	5856	0.648622	Keep		
ignigularis	6685_rep	0.649077	Keep		
brevirostris	596	0.649902	Keep		
brevirostris	6259	0.650025	Keep		
brevirostris	5215	0.652397	Keep		
ignigularis	4871	0.654162	Keep		
ignigularis	4902	0.656852	Keep		
brevirostris	3801	0.657048	Keep		
ignigularis	10235	0.657298	Keep		
ignigularis	6341	0.659872	Keep		
brevirostris	5855	0.667549	Keep		
favillarum	7431	0.668567	Keep		
ignigularis	9837	0.670296	Keep		
brevirostris	6258	0.672316	Keep		
brevirostris	4007	0.676215	Keep		
brevirostris	1197	0.681176	Keep		
brevirostris	597	0.683901	Keep		
brevirostris	5557	0.684768	Keep		
ignigularis	6270	0.685354	Keep		
ignigularis	4428	0.686859	Keep		
ignigularis	9833	0.688678	Keep		
brevirostris	3800	0.688903	Keep		
ignigularis	4691	0.698148	Keep		
ignigularis	3705	0.702293	Keep		
ignigularis	6357	0.702606	Keep		
properus	6517	0.605849	Drop		
dom4	4364	0.605921	Drop		
igprop	1065	0.613738	Drop		
ravitergum	4384	0.615939	Drop		
ravitergum	4383	0.619002	Drop		
ravitergum	7458	0.642664	Drop		
igprop	5034	0.651164	Drop		
ravig	4197	0.662638	Drop		
igprop	6769	0.664556	Drop		
dom2	4482	0.665866	Drop		
dom2	4549	0.671523	Drop		
ravitergum	4382	0.682697	Drop		
igprop	1067	0.683076	Drop		
dom2	10110	0.683348	Drop		
dom2	4626	0.68653	Drop		
dom2	4599	0.6908	Drop		
igprop	6617	0.692027	Drop		
properus	10219	0.692043	Drop		
favillarum	5174	0.695932	Drop		
igprop	1066	0.696299	Drop		
brevirostris	591	0.697607	Drop		
dom2	6854	0.697669	Drop		
dom12	664	0.698217	Drop		
brevirostris	5590	0.698509	Drop		
ravitergum	5102	0.698736	Drop		
dom2	4485	0.699224	Drop		
brevirostris	4324	0.702774	Drop		
dom2	1267	0.703571	Drop		
brevirostris	4322	0.706047	Drop		
brevirostris	7565	0.706513	Drop		
dom2	4486	0.706946	Drop		
dom2	4476	0.708391	Drop		
brevirostris	3802_rep	0.709565	Drop		
brevirostris	4320	0.711722	Drop		
igprop	6787	0.713887	Drop		
ignigularis	10086	0.715886	Drop		
ignigularis	10085	0.716241	Drop		
ignigularis	6790	0.716953	Drop		
dom2	4484	0.717302	Drop		
favillarum	3824	0.724002	Drop		
ignigularis	6781	0.725258	Drop		
ignigularis	4688	0.725677	Drop		
dom2	4498_rep	0.725935	Drop		
igprop	5038	0.728345	Drop		
dom3	617	0.728922	Drop		
dom2	4497	0.735879	Drop		
ignigularis	833	0.73611	Drop		
brevirostris	3791	0.740011	Drop		
brevirostris	6247	0.741387	Drop		
dom2	4473	0.74327	Drop		
brevirostris	3802	0.745514	Drop		
dom2	6719	0.746567	Drop		
favillarum	5170	0.746977	Drop		
ignigularis	3703	0.74849	Drop		
ignigularis	6340	0.74886	Drop		
dom2	858	0.752862	Drop		
ignigularis	4874	0.762652	Drop		
dom2	4498	0.765765	Drop		
dom2	4864	0.767864	Drop		
favillarum	3825	0.770771	Drop		
favillarum	5165	0.771463	Drop		
ignigularis	6772	0.781508	Drop		
brevirostris	5683	0.782254	Drop		
favillarum	3823	0.782479	Drop		
ignigularis	6772_rep	0.798676	Drop		
brevirostris	590	0.805611	Drop		
ignigularis	835	0.806469	Drop		
ignigularis	6343	0.812302	Drop		
ignigularis	6685	0.817466	Drop		
ignigularis	6279	0.817794	Drop		
brevirostris	1198	0.819191	Drop		
dom4	6072	0.823266	Drop		
dom2	4481	0.823701	Drop		
brevirostris	1198_rep	0.828016	Drop		
ignigularis	867	0.832165	Drop		
favillarum	5162	0.844229	Drop		
brevirostris	4391	0.850943	Drop		
brevirostris	7398	0.86162	Drop		
ignigularis	6780	0.869317	Drop		
ravitergum	4403	0.872679	Drop		
brevirostris	7368	0.873683	Drop		
ignigularis	6388	0.882378	Drop		
ignigularis	866	0.945723	Drop		
dom4	6081	0.951047	Drop		
ravitergum	4404	0.970263	Drop		